Area Code,Date,Market,Market Size,Product,Product Length,Product Line,Product Combined,Product Type,State,Type,Budget COGS,Budget Margin,Budget Profit,Budget Sales,COGS,Inventory,Margin,Marketing,Profit,Sales,Variance Column,Total Expenses,Order Date,Year,Month,Day,Day Name,Days Since Order,Month End Date,Customer Name,Clean Name,Trimmed Name,Proper Name,Hyphen Name,City,City Upper,City Lower,Location Combined,Full Location,Promo Code,Promo Check,Promo Missing Check,Full Product,,Display Today’s Date,Display Current Date and Time
303,40909,Central,Major Market,Earl Grey,9,Leaves,Leaves - Earl Grey,Tea,Colorado,Regular,50,70,40,120,64,965,76,19,36,140,70,40,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,john   doe,john   doe,john doe,John Doe,john-doe,LoNDoN,LONDON,london,"LONDON, Colorado, Central","LONDON, Colorado (Central Market)",,Blank,Missing,Leaves - Earl Grey,,Find Total Sales Where Product Type is Coffee,
217,40909,Central,Major Market,Colombian,9,Beans,Beans - Colombian,Coffee,Illinois,Regular,150,210,130,360,144,862,201,47,111,345,135,90,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,MARY ann,MARY ann,MARY ann,Mary Ann,MARY-ann,sydney,SYDNEY,sydney,"SYDNEY, Illinois, Central","SYDNEY, Illinois (Central Market)",,Blank,Missing,Beans - Colombian,,69.83035714,
309,40909,Central,Major Market,Decaf Irish Cream,17,Beans,Beans - Decaf Irish Cream,Coffee,Illinois,Decaf,100,140,100,240,95,608,139,30,87,234,94,52,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,roBERT  SMITH,roBERT  SMITH,roBERT SMITH,Robert Smith,roBERT-SMITH,new york,NEW YORK,new york,"NEW YORK, Illinois, Central","NEW YORK, Illinois (Central Market)",SAVE10,Not Blank,Avalable,Beans - Decaf Irish Cream,,,
309,40909,Central,Major Market,Caffe Mocha,11,Beans,Beans - Caffe Mocha,Espresso,Illinois,Regular,270,370,260,640,234,1310,312,77,203,546,176,109,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,alice,alice,alice,Alice,alice,DELHI,DELHI,delhi,"DELHI, Illinois, Central","DELHI, Illinois (Central Market)",,Blank,Missing,Beans - Caffe Mocha,,,
630,40909,Central,Major Market,Decaf Espresso,14,Beans,Beans - Decaf Espresso,Espresso,Illinois,Decaf,260,270,180,530,228,1459,228,63,140,456,186,88,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,,,,,,LoNDoN,LONDON,london,"LONDON, Illinois, Central","LONDON, Illinois (Central Market)",,Blank,Missing,Beans - Decaf Espresso,,Count Total Number of Sales Records per Market,
312,40909,Central,Major Market,Chamomile,9,Leaves,Leaves - Chamomile,Herbal Tea,Illinois,Decaf,70,120,100,190,89,777,130,24,95,219,99,35,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,john   doe,john   doe,john doe,John Doe,john-doe,sydney,SYDNEY,sydney,"SYDNEY, Illinois, Central","SYDNEY, Illinois (Central Market)",,Blank,Missing,Leaves - Chamomile,,Central,1344
630,40909,Central,Major Market,Lemon,5,Leaves,Leaves - Lemon,Herbal Tea,Illinois,Decaf,70,90,60,160,83,623,107,27,68,190,100,39,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,MARY ann,MARY ann,MARY ann,Mary Ann,MARY-ann,new york,NEW YORK,new york,"NEW YORK, Illinois, Central","NEW YORK, Illinois (Central Market)",,Blank,Missing,Leaves - Lemon,,East,888
773,40909,Central,Major Market,Mint,4,Leaves,Leaves - Mint,Herbal Tea,Illinois,Decaf,80,120,100,200,95,821,139,26,101,234,114,38,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,roBERT  SMITH,roBERT  SMITH,roBERT SMITH,Robert Smith,roBERT-SMITH,DELHI,DELHI,delhi,"DELHI, Illinois, Central","DELHI, Illinois (Central Market)",,Blank,Missing,Leaves - Mint,,West,1344
217,40909,Central,Major Market,Darjeeling,10,Leaves,Leaves - Darjeeling,Tea,Illinois,Regular,40,70,50,110,54,456,80,15,53,134,64,27,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,alice,alice,alice,Alice,alice,LoNDoN,LONDON,london,"LONDON, Illinois, Central","LONDON, Illinois (Central Market)",SAVE10,Not Blank,Avalable,Leaves - Darjeeling,,South,672
708,40909,Central,Major Market,Earl Grey,9,Leaves,Leaves - Earl Grey,Tea,Illinois,Regular,60,90,40,150,72,558,108,23,54,180,90,54,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,,,,,,sydney,SYDNEY,sydney,"SYDNEY, Illinois, Central","SYDNEY, Illinois (Central Market)",,Blank,Missing,Leaves - Earl Grey,,,
319,40909,Central,Small Market,Amaretto,8,Beans,Beans - Amaretto,Coffee,Iowa,Regular,10,30,20,40,18,821,27,5,11,45,15,16,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,john   doe,john   doe,john doe,John Doe,john-doe,new york,NEW YORK,new york,"NEW YORK, Iowa, Central","NEW YORK, Iowa (Central Market)",,Blank,Missing,Beans - Amaretto,,,
641,40909,Central,Small Market,Colombian,9,Beans,Beans - Colombian,Coffee,Iowa,Regular,20,40,20,60,28,965,34,8,5,62,22,29,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,MARY ann,MARY ann,MARY ann,Mary Ann,MARY-ann,DELHI,DELHI,delhi,"DELHI, Iowa, Central","DELHI, Iowa (Central Market)",,Blank,Missing,Beans - Colombian,,,
712,40909,Central,Small Market,Decaf Irish Cream,17,Beans,Beans - Decaf Irish Cream,Coffee,Iowa,Decaf,20,30,20,50,23,623,31,7,12,54,24,19,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,roBERT  SMITH,roBERT  SMITH,roBERT SMITH,Robert Smith,roBERT-SMITH,LoNDoN,LONDON,london,"LONDON, Iowa, Central","LONDON, Iowa (Central Market)",,Blank,Missing,Beans - Decaf Irish Cream,,,
563,40909,Central,Small Market,Caffe Mocha,11,Beans,Beans - Caffe Mocha,Espresso,Iowa,Regular,10,40,30,50,17,777,26,4,11,43,3,15,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,alice,alice,alice,Alice,alice,sydney,SYDNEY,sydney,"SYDNEY, Iowa, Central","SYDNEY, Iowa (Central Market)",,Blank,Missing,Beans - Caffe Mocha,,,
563,40909,Central,Small Market,Decaf Espresso,14,Beans,Beans - Decaf Espresso,Espresso,Iowa,Decaf,10,40,30,50,17,777,26,4,10,43,3,16,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,,,,,,new york,NEW YORK,new york,"NEW YORK, Iowa, Central","NEW YORK, Iowa (Central Market)",SAVE10,Not Blank,Avalable,Beans - Decaf Espresso,,,
641,40909,Central,Small Market,Chamomile,9,Leaves,Leaves - Chamomile,Herbal Tea,Iowa,Decaf,200,280,200,480,234,1310,312,77,202,546,266,110,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,john   doe,john   doe,john doe,John Doe,john-doe,DELHI,DELHI,delhi,"DELHI, Iowa, Central","DELHI, Iowa (Central Market)",,Blank,Missing,Leaves - Chamomile,,,
563,40909,Central,Small Market,Lemon,5,Leaves,Leaves - Lemon,Herbal Tea,Iowa,Decaf,80,120,90,200,95,608,139,30,86,234,114,53,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,MARY ann,MARY ann,MARY ann,Mary Ann,MARY-ann,LoNDoN,LONDON,london,"LONDON, Iowa, Central","LONDON, Iowa (Central Market)",,Blank,Missing,Leaves - Lemon,,,
712,40909,Central,Small Market,Darjeeling,10,Leaves,Leaves - Darjeeling,Tea,Iowa,Regular,190,210,140,400,228,1459,228,63,141,456,246,87,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,roBERT  SMITH,roBERT  SMITH,roBERT SMITH,Robert Smith,roBERT-SMITH,sydney,SYDNEY,sydney,"SYDNEY, Iowa, Central","SYDNEY, Iowa (Central Market)",,Blank,Missing,Leaves - Darjeeling,,,
319,40909,Central,Small Market,Earl Grey,9,Leaves,Leaves - Earl Grey,Tea,Iowa,Regular,210,270,160,480,245,1419,301,93,175,546,276,126,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,alice,alice,alice,Alice,alice,new york,NEW YORK,new york,"NEW YORK, Iowa, Central","NEW YORK, Iowa (Central Market)",,Blank,Missing,Leaves - Earl Grey,,,
636,40909,Central,Small Market,Colombian,9,Beans,Beans - Colombian,Coffee,Missouri,Regular,90,100,40,190,85,494,105,32,39,190,90,66,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,,,,,,DELHI,DELHI,delhi,"DELHI, Missouri, Central","DELHI, Missouri (Central Market)",,Blank,Missing,Beans - Colombian,,,
573,40909,Central,Small Market,Decaf Irish Cream,17,Beans,Beans - Decaf Irish Cream,Coffee,Missouri,Decaf,80,90,50,170,78,965,92,24,47,170,80,45,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,john   doe,john   doe,john doe,John Doe,john-doe,LoNDoN,LONDON,london,"LONDON, Missouri, Central","LONDON, Missouri (Central Market)",SAVE10,Not Blank,Avalable,Beans - Decaf Irish Cream,,,
417,40909,Central,Small Market,Green Tea,9,Leaves,Leaves - Green Tea,Tea,Missouri,Regular,20,40,0,60,34,197,42,12,-4,76,36,46,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,MARY ann,MARY ann,MARY ann,Mary Ann,MARY-ann,sydney,SYDNEY,sydney,"SYDNEY, Missouri, Central","SYDNEY, Missouri (Central Market)",,Blank,Missing,Leaves - Green Tea,,,
573,40909,Central,Small Market,Caffe Mocha,11,Beans,Beans - Caffe Mocha,Espresso,Missouri,Regular,50,90,70,140,50,821,73,14,48,123,33,25,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,roBERT  SMITH,roBERT  SMITH,roBERT SMITH,Robert Smith,roBERT-SMITH,new york,NEW YORK,new york,"NEW YORK, Missouri, Central","NEW YORK, Missouri (Central Market)",,Blank,Missing,Beans - Caffe Mocha,,,
660,40909,Central,Small Market,Decaf Espresso,14,Beans,Beans - Decaf Espresso,Espresso,Missouri,Decaf,50,80,60,130,46,777,68,12,45,114,34,23,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,alice,alice,alice,Alice,alice,DELHI,DELHI,delhi,"DELHI, Missouri, Central","DELHI, Missouri (Central Market)",,Blank,Missing,Beans - Decaf Espresso,,,
573,40909,Central,Small Market,Chamomile,9,Leaves,Leaves - Chamomile,Herbal Tea,Missouri,Decaf,30,40,0,70,37,261,53,34,-11,90,50,64,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,,,,,,LoNDoN,LONDON,london,"LONDON, Missouri, Central","LONDON, Missouri (Central Market)",,Blank,Missing,Leaves - Chamomile,,,
314,40909,Central,Small Market,Lemon,5,Leaves,Leaves - Lemon,Herbal Tea,Missouri,Decaf,70,10,-20,80,88,525,11,27,-39,99,89,50,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,john   doe,john   doe,john doe,John Doe,john-doe,sydney,SYDNEY,sydney,"SYDNEY, Missouri, Central","SYDNEY, Missouri (Central Market)",,Blank,Missing,Leaves - Lemon,,,
314,40909,Central,Small Market,Darjeeling,10,Leaves,Leaves - Darjeeling,Tea,Missouri,Regular,30,40,10,70,35,196,47,11,9,82,42,38,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,MARY ann,MARY ann,MARY ann,Mary Ann,MARY-ann,new york,NEW YORK,new york,"NEW YORK, Missouri, Central","NEW YORK, Missouri (Central Market)",SAVE10,Not Blank,Avalable,Leaves - Darjeeling,,,
573,40909,Central,Small Market,Earl Grey,9,Leaves,Leaves - Earl Grey,Tea,Missouri,Regular,20,30,-10,50,29,169,36,11,-9,65,35,45,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,roBERT  SMITH,roBERT  SMITH,roBERT SMITH,Robert Smith,roBERT-SMITH,DELHI,DELHI,delhi,"DELHI, Missouri, Central","DELHI, Missouri (Central Market)",,Blank,Missing,Leaves - Earl Grey,,,
740,40909,Central,Major Market,Amaretto,8,Beans,Beans - Amaretto,Coffee,Ohio,Regular,60,80,50,140,60,336,80,19,34,140,60,46,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,alice,alice,alice,Alice,alice,LoNDoN,LONDON,london,"LONDON, Ohio, Central","LONDON, Ohio (Central Market)",,Blank,Missing,Beans - Amaretto,,,
614,40909,Central,Major Market,Colombian,9,Beans,Beans - Colombian,Coffee,Ohio,Regular,60,80,50,140,57,364,83,18,42,140,60,41,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,,,,,,sydney,SYDNEY,sydney,"SYDNEY, Ohio, Central","SYDNEY, Ohio (Central Market)",,Blank,Missing,Beans - Colombian,,,
614,40909,Central,Major Market,Decaf Irish Cream,17,Beans,Beans - Decaf Irish Cream,Coffee,Ohio,Decaf,60,90,20,150,63,435,87,57,0,150,60,87,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,john   doe,john   doe,john doe,John Doe,john-doe,new york,NEW YORK,new york,"NEW YORK, Ohio, Central","NEW YORK, Ohio (Central Market)",,Blank,Missing,Beans - Decaf Irish Cream,,,
216,40909,Central,Major Market,Earl Grey,9,Leaves,Leaves - Earl Grey,Tea,Ohio,Regular,70,100,60,170,84,500,116,26,67,200,100,49,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,MARY ann,MARY ann,MARY ann,Mary Ann,MARY-ann,DELHI,DELHI,delhi,"DELHI, Ohio, Central","DELHI, Ohio (Central Market)",,Blank,Missing,Leaves - Earl Grey,,,
614,40909,Central,Major Market,Decaf Espresso,14,Beans,Beans - Decaf Espresso,Espresso,Ohio,Decaf,60,90,40,150,58,338,72,22,16,130,40,56,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,roBERT  SMITH,roBERT  SMITH,roBERT SMITH,Robert Smith,roBERT-SMITH,LoNDoN,LONDON,london,"LONDON, Ohio, Central","LONDON, Ohio (Central Market)",SAVE10,Not Blank,Avalable,Beans - Decaf Espresso,,,
614,40909,Central,Major Market,Caffe Mocha,11,Beans,Beans - Caffe Mocha,Espresso,Ohio,Regular,190,210,140,400,170,1091,171,47,99,341,131,72,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,alice,alice,alice,Alice,alice,sydney,SYDNEY,sydney,"SYDNEY, Ohio, Central","SYDNEY, Ohio (Central Market)",,Blank,Missing,Beans - Caffe Mocha,,,
937,40909,Central,Major Market,Chamomile,9,Leaves,Leaves - Chamomile,Herbal Tea,Ohio,Decaf,20,50,50,70,32,456,48,8,29,80,30,19,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,,,,,,new york,NEW YORK,new york,"NEW YORK, Ohio, Central","NEW YORK, Ohio (Central Market)",,Blank,Missing,Leaves - Chamomile,,,
740,40909,Central,Major Market,Lemon,5,Leaves,Leaves - Lemon,Herbal Tea,Ohio,Decaf,20,50,50,70,32,821,48,8,29,80,30,19,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,john   doe,john   doe,john doe,John Doe,john-doe,DELHI,DELHI,delhi,"DELHI, Ohio, Central","DELHI, Ohio (Central Market)",,Blank,Missing,Leaves - Lemon,,,
567,40909,Central,Major Market,Darjeeling,10,Leaves,Leaves - Darjeeling,Tea,Ohio,Regular,70,110,60,180,84,651,126,27,68,210,100,58,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,MARY ann,MARY ann,MARY ann,Mary Ann,MARY-ann,LoNDoN,LONDON,london,"LONDON, Ohio, Central","LONDON, Ohio (Central Market)",,Blank,Missing,Leaves - Darjeeling,,,
262,40909,Central,Small Market,Amaretto,8,Beans,Beans - Amaretto,Coffee,Wisconsin,Regular,50,70,30,120,54,312,66,20,13,120,50,53,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,roBERT  SMITH,roBERT  SMITH,roBERT SMITH,Robert Smith,roBERT-SMITH,sydney,SYDNEY,sydney,"SYDNEY, Wisconsin, Central","SYDNEY, Wisconsin (Central Market)",,Blank,Missing,Beans - Amaretto,,,
262,40909,Central,Small Market,Colombian,9,Beans,Beans - Colombian,Coffee,Wisconsin,Regular,80,110,20,190,79,551,111,72,9,190,80,102,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,alice,alice,alice,Alice,alice,new york,NEW YORK,new york,"NEW YORK, Wisconsin, Central","NEW YORK, Wisconsin (Central Market)",SAVE10,Not Blank,Avalable,Beans - Colombian,,,
414,40909,Central,Small Market,Decaf Irish Cream,17,Beans,Beans - Decaf Irish Cream,Coffee,Wisconsin,Decaf,80,100,60,180,77,432,103,25,51,180,80,52,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,,,,,,DELHI,DELHI,delhi,"DELHI, Wisconsin, Central","DELHI, Wisconsin (Central Market)",,Blank,Missing,Beans - Decaf Irish Cream,,,
262,40909,Central,Small Market,Earl Grey,9,Leaves,Leaves - Earl Grey,Tea,Wisconsin,Regular,60,90,10,150,75,522,105,68,7,180,90,98,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,john   doe,john   doe,john doe,John Doe,john-doe,LoNDoN,LONDON,london,"LONDON, Wisconsin, Central","LONDON, Wisconsin (Central Market)",,Blank,Missing,Leaves - Earl Grey,,,
262,40909,Central,Small Market,Decaf Espresso,14,Beans,Beans - Decaf Espresso,Espresso,Wisconsin,Decaf,50,70,50,120,48,623,62,15,34,110,40,28,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,MARY ann,MARY ann,MARY ann,Mary Ann,MARY-ann,sydney,SYDNEY,sydney,"SYDNEY, Wisconsin, Central","SYDNEY, Wisconsin (Central Market)",,Blank,Missing,Beans - Decaf Espresso,,,
414,40909,Central,Small Market,Caffe Mocha,11,Beans,Beans - Caffe Mocha,Espresso,Wisconsin,Regular,80,90,50,170,69,965,81,21,38,150,60,43,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,roBERT  SMITH,roBERT  SMITH,roBERT SMITH,Robert Smith,roBERT-SMITH,new york,NEW YORK,new york,"NEW YORK, Wisconsin, Central","NEW YORK, Wisconsin (Central Market)",,Blank,Missing,Beans - Caffe Mocha,,,
715,40909,Central,Small Market,Chamomile,9,Leaves,Leaves - Chamomile,Herbal Tea,Wisconsin,Decaf,50,100,80,150,67,400,113,20,70,180,80,43,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,alice,alice,alice,Alice,alice,DELHI,DELHI,delhi,"DELHI, Wisconsin, Central","DELHI, Wisconsin (Central Market)",,Blank,Missing,Leaves - Chamomile,,,
715,40909,Central,Small Market,Lemon,5,Leaves,Leaves - Lemon,Herbal Tea,Wisconsin,Decaf,20,50,50,70,33,777,48,9,28,81,31,20,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,,,,,,LoNDoN,LONDON,london,"LONDON, Wisconsin, Central","LONDON, Wisconsin (Central Market)",SAVE10,Not Blank,Avalable,Leaves - Lemon,,,
608,40909,Central,Small Market,Darjeeling,10,Leaves,Leaves - Darjeeling,Tea,Wisconsin,Regular,50,80,50,130,61,390,89,19,47,150,70,42,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,john   doe,john   doe,john doe,John Doe,john-doe,sydney,SYDNEY,sydney,"SYDNEY, Wisconsin, Central","SYDNEY, Wisconsin (Central Market)",,Blank,Missing,Leaves - Darjeeling,,,
475,40909,East,Small Market,Darjeeling,10,Leaves,Leaves - Darjeeling,Tea,Connecticut,Regular,50,80,60,130,50,821,73,14,47,123,43,26,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,MARY ann,MARY ann,MARY ann,Mary Ann,MARY-ann,new york,NEW YORK,new york,"NEW YORK, Connecticut, East","NEW YORK, Connecticut (East Market)",,Blank,Missing,Leaves - Darjeeling,,,
475,40909,East,Small Market,Green Tea,9,Leaves,Leaves - Green Tea,Tea,Connecticut,Regular,40,60,40,100,38,777,56,10,35,94,34,21,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,roBERT  SMITH,roBERT  SMITH,roBERT SMITH,Robert Smith,roBERT-SMITH,DELHI,DELHI,delhi,"DELHI, Connecticut, East","DELHI, Connecticut (East Market)",,Blank,Missing,Leaves - Green Tea,,,
475,40909,East,Small Market,Decaf Espresso,14,Beans,Beans - Decaf Espresso,Espresso,Connecticut,Decaf,50,70,40,120,55,312,75,18,30,130,60,45,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,alice,alice,alice,Alice,alice,LoNDoN,LONDON,london,"LONDON, Connecticut, East","LONDON, Connecticut (East Market)",,Blank,Missing,Beans - Decaf Espresso,,,
860,40909,East,Small Market,Caffe Mocha,11,Beans,Beans - Caffe Mocha,Espresso,Connecticut,Regular,70,100,20,170,75,522,105,68,7,180,80,98,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,,,,,,sydney,SYDNEY,sydney,"SYDNEY, Connecticut, East","SYDNEY, Connecticut (East Market)",,Blank,Missing,Beans - Caffe Mocha,,,
475,40909,East,Small Market,Colombian,9,Beans,Beans - Colombian,Coffee,Connecticut,Regular,110,180,130,290,124,961,186,40,115,310,130,71,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,john   doe,john   doe,john doe,John Doe,john-doe,new york,NEW YORK,new york,"NEW YORK, Connecticut, East","NEW YORK, Connecticut (East Market)",SAVE10,Not Blank,Avalable,Beans - Colombian,,,
860,40909,East,Small Market,Lemon,5,Leaves,Leaves - Lemon,Herbal Tea,Connecticut,Decaf,60,80,40,140,85,494,105,32,40,190,110,65,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,MARY ann,MARY ann,MARY ann,Mary Ann,MARY-ann,DELHI,DELHI,delhi,"DELHI, Connecticut, East","DELHI, Connecticut (East Market)",,Blank,Missing,Leaves - Lemon,,,
475,40909,East,Small Market,Mint,4,Leaves,Leaves - Mint,Herbal Tea,Connecticut,Decaf,50,80,50,130,78,965,92,24,47,170,90,45,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,roBERT  SMITH,roBERT  SMITH,roBERT SMITH,Robert Smith,roBERT-SMITH,LoNDoN,LONDON,london,"LONDON, Connecticut, East","LONDON, Connecticut (East Market)",,Blank,Missing,Leaves - Mint,,,
954,40909,East,Major Market,Darjeeling,10,Leaves,Leaves - Darjeeling,Tea,Florida,Regular,30,50,40,80,32,821,48,8,28,80,30,20,1-Jan-2012,2012,1,1,Sunday,5158,31-Jan-2012,alice,alice,alice,Alice,alice,sydney,SYDNEY,sydney,"SYDNEY, Florida, East","SYDNEY, Florida (East Market)",,Blank,Missing,Leaves - Darjeeling,,,
